Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2016-06-16,15:00 (09:00),UEFA Euro,Group stage,Thu,Neutral,W,2,1,wls Wales,,,70,"34,033",Wayne Rooney,4-3-3,Felix Brych,Match Report,
2016-06-20,21:00 (15:00),UEFA Euro,Group stage,Mon,Neutral,D,0,0,sk Slovakia,,,58,"39,051",Gary Cahill,4-3-3,Carlos Velasco,Match Report,
2016-06-27,21:00 (15:00),UEFA Euro,Round of 16,Mon,Neutral,L,1,2,is Iceland,,,68,"33,901",Wayne Rooney,4-3-3,Damir Skomina,Match Report,
2016-09-04,18:00 (12:00),WCQ,First round,Sun,Away,W,1,0,sk Slovakia,,,,"18,111",Wayne Rooney,4-3-3,Milorad Mažić,Match Report,
2016-10-08,17:00 (12:00),WCQ,First round,Sat,Home,W,2,0,mt Malta,,,,"81,718",Wayne Rooney,4-1-4-1,Stefan Johannesson,Match Report,
2016-10-11,20:45 (14:45),WCQ,First round,Tue,Away,D,0,0,si Slovenia,,,,"13,274",Jordan Henderson,4-5-1,Deniz Aytekin,Match Report,
2016-11-11,19:45 (14:45),WCQ,First round,Fri,Home,W,3,0,sct Scotland,,,,"87,258",Wayne Rooney,4-2-3-1,Cüneyt Çakιr,Match Report,
2016-11-15,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,D,2,2,es Spain,,,,"83,716",Jordan Henderson,4-2-3-1,Ovidiu Hațegan,Match Report,
2015-03-27,19:45 (15:45),Euro Qualifying,Group stage,Fri,Home,W,4,0,lt Lithuania,,,64,"83,671",Wayne Rooney,4-3-3,Pavel Královec,Match Report,
2015-03-31,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Away,D,1,1,it Italy,,,,"31,138",Wayne Rooney,4-3-1-2,Felix Brych,Match Report,
2015-06-07,13:00 (08:00),Friendlies (M),Friendlies (M),Sun,Away,D,0,0,ie Rep. of Ireland,,,,"43,846",Wayne Rooney,4-1-4-1,Arnold Hunter,Match Report,
2015-06-14,18:00 (12:00),Euro Qualifying,Group stage,Sun,Away,W,3,2,si Slovenia,,,56,"15,700",Wayne Rooney,4-5-1,Alberto Undiano,Match Report,
2015-09-05,18:00 (12:00),Euro Qualifying,Group stage,Sat,Away,W,6,0,sm San Marino,,,74,"4,378",Wayne Rooney,4-3-3,Leontios Trattou,Match Report,
2015-09-08,19:45 (14:45),Euro Qualifying,Group stage,Tue,Home,W,2,0,ch Switzerland,,,49,"75,751",Wayne Rooney,4-3-3,Gianluca Rocchi,Match Report,
2015-10-09,19:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,2,0,ee Estonia,,,64,"75,427",Gary Cahill,4-3-3,István Vad II,Match Report,
2015-10-12,21:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,3,0,lt Lithuania,,,62,"5,051",Phil Jagielka,4-3-1-2,Kenn Hansen,Match Report,
2015-11-13,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,L,0,2,es Spain,,,,"25,300",Joe Hart,4-2-3-1,Paolo Mazzoleni,Match Report,
2015-11-17,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,2,0,fr France,,,,"71,223",Wayne Rooney,4-2-3-1,Jonas Eriksson,Match Report,
2012-09-07,21:45 (14:45),WCQ,First round,Fri,Away,W,5,0,md Moldova,,,,"10,500",Steven Gerrard,,Pol van Boekel,Match Report,
2012-09-11,20:00 (15:00),WCQ,First round,Tue,Home,D,1,1,ua Ukraine,,,,"68,102",Steven Gerrard,,Cüneyt Çakιr,Match Report,
2012-10-12,20:00 (15:00),WCQ,First round,Fri,Home,W,5,0,sm San Marino,,,,"86,645",Wayne Rooney,,Gediminas Mažeika,Match Report,
2012-10-17,17:00 (11:00),WCQ,First round,Wed,Away,D,1,1,pl Poland,,,,"47,000",Steven Gerrard,,Gianluca Rocchi,Match Report,
2013-03-22,21:00 (16:00),WCQ,First round,Fri,Away,W,8,0,sm San Marino,,,,"4,952",Frank Lampard,,Alain Bieri,Match Report,
2013-03-26,21:00 (16:00),WCQ,First round,Tue,Away,D,1,1,me Montenegro,,,,"11,300",Steven Gerrard,,Jonas Eriksson,Match Report,
2013-09-06,20:00 (15:00),WCQ,First round,Fri,Home,W,4,0,md Moldova,,,,"61,607",Steven Gerrard,,Ivan Kružliak,Match Report,
2013-09-10,21:45 (14:45),WCQ,First round,Tue,Away,D,0,0,ua Ukraine,,,,"69,890",Steven Gerrard,,Pedro Proença,Match Report,
2013-10-11,20:00 (15:00),WCQ,First round,Fri,Home,W,4,1,me Montenegro,,,,"83,807",Steven Gerrard,,Alberto Undiano,Match Report,
2013-10-15,20:00 (15:00),WCQ,First round,Tue,Home,W,2,0,pl Poland,,,,"85,186",Steven Gerrard,,Damir Skomina,Match Report,
2014-03-05,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,dk Denmark,,,,"68,573",Steven Gerrard,4-1-4-1,Kevin Blom,Match Report,
2014-05-30,20:00 (15:00),Friendlies (M),Friendlies (M),Fri,Home,W,3,0,pe Peru,,,,"83,578",Steven Gerrard,4-2-3-1,Viktor Kassai,Match Report,
2014-06-04,15:00,Friendlies (M),Friendlies (M),Wed,Neutral,D,2,2,ec Ecuador,,,,"21,534",Frank Lampard,4-2-3-1,Jair Marrufo,Match Report,
2014-06-07,16:45,Friendlies (M),Friendlies (M),Sat,Neutral,D,0,0,hn Honduras,,,,"45,379",Steven Gerrard,4-2-3-1,Ricardo Salazar,Match Report,
2014-06-14,18:00,FIFA World Cup,Group stage,Sat,Neutral,L,1,2,it Italy,,,48,"39,800",,4-2-3-1,Björn Kuipers,Match Report,
2014-06-19,16:00 (15:00),FIFA World Cup,Group stage,Thu,Neutral,L,1,2,uy Uruguay,,,62,"62,575",,4-2-3-1,Carlos Velasco,Match Report,
2014-06-24,13:00 (12:00),FIFA World Cup,Group stage,Tue,Neutral,D,0,0,cr Costa Rica,,,53,"57,823",,4-2-3-1,Djamel Haïmoudi,Match Report,
2014-09-03,20:00 (15:00),Friendlies (M),Friendlies (M),Wed,Home,W,1,0,no Norway,,,,"40,181",Wayne Rooney,4-2-2-2,Jorge de Sousa,Match Report,
2014-09-08,20:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,2,0,ch Switzerland,,,46,"35,500",Wayne Rooney,4-3-1-2,Cüneyt Çakιr,Match Report,
2014-10-09,19:45 (14:45),Euro Qualifying,Group stage,Thu,Home,W,5,0,sm San Marino,,,70,"55,990",Wayne Rooney,4-3-1-2,Marcin Borski,Match Report,
2014-10-12,19:00 (12:00),Euro Qualifying,Group stage,Sun,Away,W,1,0,ee Estonia,,,70,"10,195",Wayne Rooney,4-3-3,Mario Strahonja,Match Report,
2014-11-15,17:00 (12:00),Euro Qualifying,Group stage,Sat,Home,W,3,1,si Slovenia,,,58,"82,305",Wayne Rooney,4-3-1-2,Olegário Benquerença,Match Report,
2014-11-18,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,W,3,1,sct Scotland,,,,"55,000",Wayne Rooney,4-2-3-1,Jonas Eriksson,Match Report,
2010-09-03,20:00 (15:00),Euro Qualifying,Group stage,Fri,Home,W,4,0,bg Bulgaria,,,,"73,426",Steven Gerrard,,Viktor Kassai,Match Report,
2010-09-07,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,3,1,ch Switzerland,,,,"37,500",Steven Gerrard,,Nicola Rizzoli,Match Report,
2010-10-12,20:00 (15:00),Euro Qualifying,Group stage,Tue,Home,D,0,0,me Montenegro,,,,"73,451",Rio Ferdinand,,Manuel Gräfe,Match Report,
2011-03-26,15:00 (11:00),Euro Qualifying,Group stage,Sat,Away,W,2,0,wls Wales,,,,"68,959",John Terry,,Olegário Benquerença,Match Report,
2011-06-04,16:45 (11:45),Euro Qualifying,Group stage,Sat,Home,D,2,2,ch Switzerland,,,,"84,459",John Terry,,Damir Skomina,Match Report,
2011-09-02,21:15 (14:15),Euro Qualifying,Group stage,Fri,Away,W,3,0,bg Bulgaria,,,,"27,230",John Terry,,Frank De Bleeckere,Match Report,
2011-09-06,19:45 (14:45),Euro Qualifying,Group stage,Tue,Home,W,1,0,wls Wales,,,,"77,128",John Terry,,Robert Schörgenhofer,Match Report,
2011-10-07,21:00 (15:00),Euro Qualifying,Group stage,Fri,Away,D,2,2,me Montenegro,,,,"11,340",John Terry,,Wolfgang Stark,Match Report,
2012-06-11,19:00 (12:00),UEFA Euro,Group stage,Mon,Away,D,1,1,fr France,,,,"47,400",Steven Gerrard,,Nicola Rizzoli,Match Report,
2012-06-15,22:00 (15:00),UEFA Euro,Group stage,Fri,Away,W,3,2,se Sweden,,,,"64,640",Steven Gerrard,,Damir Skomina,Match Report,
2012-06-19,21:45 (14:45),UEFA Euro,Group stage,Tue,Home,W,1,0,ua Ukraine,,,,"48,700",Steven Gerrard,,Viktor Kassai,Match Report,
2012-06-24,21:45 (14:45),UEFA Euro,Quarter-finals,Sun,Home,D,0 (2),0 (4),it Italy,,,,"64,340",Steven Gerrard,,Pedro Proença,Match Report,Italy won on penalty kicks following extra time
2012-09-07,21:45 (14:45),WCQ,First round,Fri,Away,W,5,0,md Moldova,,,,"10,500",Steven Gerrard,,Pol van Boekel,Match Report,
2012-09-11,20:00 (15:00),WCQ,First round,Tue,Home,D,1,1,ua Ukraine,,,,"68,102",Steven Gerrard,,Cüneyt Çakιr,Match Report,
2012-10-12,20:00 (15:00),WCQ,First round,Fri,Home,W,5,0,sm San Marino,,,,"86,645",Wayne Rooney,,Gediminas Mažeika,Match Report,
2012-10-17,17:00 (11:00),WCQ,First round,Wed,Away,D,1,1,pl Poland,,,,"47,000",Steven Gerrard,,Gianluca Rocchi,Match Report,
2008-09-06,20:00 (14:00),WCQ,First round,Sat,Away,W,2,0,ad Andorra,,,,"10,300",John Terry,,Cüneyt Çakιr,Match Report,
2008-09-10,21:00 (15:00),WCQ,First round,Wed,Away,W,4,1,hr Croatia,,,,"35,218",John Terry,,Ľuboš Micheľ,Match Report,
2008-10-11,17:15 (12:15),WCQ,First round,Sat,Home,W,5,1,kz Kazakhstan,,,,"89,107",Rio Ferdinand,,Paul Allaerts,Match Report,
2008-10-15,21:30 (14:30),WCQ,First round,Wed,Away,W,3,1,by Belarus,,,,"29,600",Rio Ferdinand,,Terje Hauge,Match Report,
2009-04-01,20:00 (15:00),WCQ,First round,Wed,Home,W,2,1,ua Ukraine,,,,"87,548",John Terry,,Claus Bo Larsen,Match Report,
2009-06-06,21:00 (11:00),WCQ,First round,Sat,Away,W,4,0,kz Kazakhstan,,,,"24,000",John Terry,,Kristinn Jakobsson,Match Report,
2009-06-10,20:15 (15:15),WCQ,First round,Wed,Home,W,6,0,ad Andorra,,,,"57,897",John Terry,,Bas Nijhuis,Match Report,
2009-09-09,20:00 (15:00),WCQ,First round,Wed,Home,W,5,1,hr Croatia,,,,"87,319",John Terry,,Alberto Undiano,Match Report,
2009-10-10,19:15 (12:15),WCQ,First round,Sat,Away,L,0,1,ua Ukraine,,,,"31,000",John Terry,,Damir Skomina,Match Report,
2009-10-14,20:00 (15:00),WCQ,First round,Wed,Home,W,3,0,by Belarus,,,,"76,897",John Terry,,Lucílio Cardoso Cortez Batista,Match Report,
2010-06-12,20:30 (14:30),FIFA World Cup,Group stage,Sat,Neutral,D,1,1,us United States,,,,"38,646",,4-4-2,,Match Report,
2010-06-18,20:30 (14:30),FIFA World Cup,Group stage,Fri,Neutral,D,0,0,dz Algeria,,,,"64,100",,4-4-2,,Match Report,
2010-06-23,16:00 (10:00),FIFA World Cup,Group stage,Wed,Neutral,W,1,0,si Slovenia,,,,"36,893",,4-4-2,,Match Report,
2010-06-27,16:00 (10:00),FIFA World Cup,Round of 16,Sun,Neutral,L,1,4,de Germany,,,,"40,510",,4-4-2,,Match Report,
2010-09-03,20:00 (15:00),Euro Qualifying,Group stage,Fri,Home,W,4,0,bg Bulgaria,,,,"73,426",Steven Gerrard,,Viktor Kassai,Match Report,
2010-09-07,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,3,1,ch Switzerland,,,,"37,500",Steven Gerrard,,Nicola Rizzoli,Match Report,
2010-10-12,20:00 (15:00),Euro Qualifying,Group stage,Tue,Home,D,0,0,me Montenegro,,,,"73,451",Rio Ferdinand,,Manuel Gräfe,Match Report,
